class,subclass,count,category,Keep
sport,boxing,3,Sports and Activities,1
sport,chess,3,Sports and Activities,1
sport,gymnastics,3,Sports and Activities,1
sport,judo,3,Sports and Activities,1
sport,karting,3,Sports and Activities,1
sport,model_aerodrome,3,Recreation,1
sport,water_ski,3,Sports and Activities,1
sport,yoga,3,Health and Beauty,1
tourism,waterfall,3,Outdoor Recreation,1
amenity,cafe / restaurant,2,Food and Drink,1
amenity,cash_deposit,2,Financial Services,1
amenity,dancing_school,2,Education,1
amenity,dog_day_care,2,Healthcare,1
amenity,events_centre,2,Entertainment,1
amenity,festival_grounds,2,Entertainment,1
amenity,gantry,2,Transportation,1
amenity,give_box,2,Financial Services,0
amenity,lavoir,2,Historic,1
amenity,meeting,2,Office,0
amenity,meeting_point,2,Recreation,0
amenity,pumping_station,2,Transportation,0
amenity,rental,2,Transportation,0
amenity,rescue_station,2,Emergency Services,0
amenity,rubbish_bin,2,Outdoor Recreation,0
amenity,salt,2,Groceries and Food,1
amenity,scooter_parking,2,Transportation,0
amenity,toy_library,2,Education,1
amenity,vacant,2,Office,1
amenity,vehicle_ramp,2,Transportation,0
craft,bookbinder,2,Artisan Workshops,1
craft,carpet_layer,2,Artisan Workshops,1
craft,chimney_sweeper,2,Artisan Workshops,1
craft,floorer,2,Artisan Workshops,1
craft,glassblower,2,Artisan Workshops,1
craft,metal_works,2,Artisan Workshops,1
craft,parquet_layer,2,Artisan Workshops,1
craft,photographic_laboratory,2,Artisan Workshops,1
craft,saddler,2,Artisan Workshops,1
craft,scaffolder,2,Artisan Workshops,1
craft,tiler,2,Artisan Workshops,1
craft,yes,2,Craft,1
emergency,lifeboat,2,Emergency Services,0
emergency,water_rescue,2,Emergency Services,0
emergency,water_tank,2,Emergency Services,0
historic,R,2,Historic,1
historic,cairn,2,Historic,1
historic,gallows,2,Historic,1
historic,heritage,2,Historic,1
historic,locomotive,2,Historic,1
historic,remains,2,Historic,1
historic,settlement,2,Historic,1
historic,wayside_chapel,2,Religious Places,1
leisure,firepot,2,Outdoor Recreation,1
leisure,fountain,2,Outdoor Recreation,1
leisure,hammock_swing,2,Outdoor Recreation,1
leisure,hunting_stand,2,Outdoor Recreation,1
leisure,lake_bath,2,Outdoor Recreation,1
leisure,naturhamn,2,Recreation,1
leisure,park_bench,2,Outdoor Recreation,1
leisure,picnic_site,2,Outdoor Recreation,1
leisure,recreation_ground,2,Recreation,1
leisure,riding,2,Sports and Activities,1
leisure,swimming_area.,2,Outdoor Recreation,1
office,bank,2,Financial Services,1
office,courier,2,Transportation,1
office,financial_advisor,2,Financial Services,1
office,labor_union,2,Office,1
office,labour_union,2,Office,1
office,transport,2,Office,1
office,transportation,2,Transportation,1
shop,applience,2,Home and Living,1
shop,auctioneers,2,Financial Services,1
shop,coffee_roasting,2,Food and Drink,1
shop,factory_outlet,2,Fashion and Accessories,1
shop,flea_market,2,Groceries and Food,1
shop,glass,2,Craft,1
shop,gym,2,Sports and Activities,1
shop,honey,2,Groceries and Food,1
shop,hvac,2,Home and Living,1
shop,insurance,2,Financial Services,1
shop,interior_design,2,Home and Living,1
shop,money_transfer,2,Financial Services,1
shop,office,2,Office,1
shop,printing,2,Office,1
shop,religion,2,Shop,1
shop,shopping_centre,2,Groceries and Food,1
shop,signs,2,Office,1
shop,snus,2,Health and Beauty,1
shop,tableware,2,Home and Living,1
shop,tanning,2,Health and Beauty,1
shop,telecommunication,2,Office,1
shop,tools,2,Craft,1
shop,truck_repair,2,Automotive Services,1
shop,weapons,2,Craft,1
shop,wigs,2,Fashion and Accessories,1
sport,archery,2,Sports and Activities,1
sport,bowls,2,Sports and Activities,1
sport,canoeing,2,Outdoor Recreation,1
sport,cross_country_skiing;orienteering,2,Sports and Activities,1
sport,cycling,2,Sports and Activities,1
sport,dance,2,Entertainment,1
sport,fencing,2,Sports and Activities,1
sport,fitness,2,Sports and Activities,1
sport,handball,2,Sports and Activities,1
sport,ice_skating,2,Sports and Activities,1
sport,miniature_golf,2,Sports and Activities,1
sport,paddle_tennis,2,Sports and Activities,1
sport,running,2,Sports and Activities,1
sport,shooting_range,2,Sports and Activities,1
sport,ski,2,Outdoor Recreation,1
sport,skydiving,2,Sports and Activities,1
sport,surfing,2,Sports and Activities,1
sport,wrestling,2,Sports and Activities,1
tourism,camping,2,Outdoor Recreation,1
amenity,Select,1,Unknown,0
amenity,abandoned_fuel,1,Automotive Services,0
amenity,ambulance,1,Emergency Services,0
amenity,art_school,1,Education,1
amenity,art_work,1,Artisan Workshops,1
amenity,atm;toilets,1,Financial Services,1
amenity,baby_hatch,1,Healthcare,1
amenity,barbecue,1,Food and Drink,1
amenity,bath,1,Health and Beauty,1
amenity,bathroom,1,Healthcare,1
amenity,bee_hive,1,Outdoor Recreation,1
amenity,bench;bbq,1,Outdoor Recreation,1
amenity,bench;waste_basket,1,Outdoor Recreation,1
amenity,bicycle_washing,1,Automotive Services,1
amenity,binoculars,1,Tourism,1
amenity,bird_hide,1,Outdoor Recreation,1
amenity,blood_donation,1,Healthcare,1
amenity,boat_sharing,1,Transportation,0
amenity,border_control,1,Transportation,0
amenity,cafe;bicycle_rental,1,Food and Drink,1
amenity,campus,1,Education,1
amenity,canoe_rental,1,Outdoor Recreation,1
amenity,carport,1,Automotive Services,0
amenity,centre,1,Education,0
amenity,changing_room,1,Sports and Activities,1
amenity,charity,1,Financial Services,1
amenity,chiropractor,1,Healthcare,1
amenity,chiropractor;massage;psychologist;physiotherapy,1,Healthcare,1
amenity,coastguard,1,Emergency Services,0
amenity,communal_cooking_area,1,Food and Drink,1
amenity,computer_club,1,Education,1
amenity,confectionary,1,Food and Drink,1
amenity,conference_centre;community_centre,1,Education,1
amenity,confic,1,Unknown,0
amenity,culture_center,1,Entertainment,1
amenity,dagmamma,1,Education,1
amenity,disused:restaurant,1,Food and Drink,1
amenity,dog_care,1,Healthcare,1
amenity,dog_parking,1,Recreation,0
amenity,dog_shop,1,Groceries and Food,1
amenity,dog_training,1,Sports and Activities,1
amenity,drop_zone,1,Sports and Activities,1
amenity,equipment_exchange,1,Sports and Activities,1
amenity,escape_game,1,Entertainment,1
amenity,fast_food;ice_cream,1,Food and Drink,1
amenity,fire_station;ambulance_station,1,Emergency Services,0
amenity,firewood,1,Craft,1
amenity,flight_school,1,Education,1
amenity,folkpark,1,Outdoor Recreation,1
amenity,food,1,Food and Drink,1
amenity,food_bank,1,Groceries and Food,1
amenity,freeshop,1,Shop,1
amenity,freight_terminal,1,Transportation,0
amenity,funeral_hall,1,Religious Places,1
amenity,gas_cylinder_testing,1,Automotive Services,0
amenity,harbour charge,1,Transportation,0
amenity,health_centre,1,Healthcare,1
amenity,healthcare,1,Healthcare,1
amenity,hemkunskapssal,1,Education,1
amenity,hull_cleaning_machine,1,Transportation,0
amenity,info,1,Office,1
amenity,institute,1,Education,1
amenity,job_centre,1,Office,1
amenity,julgran försäljning,1,Groceries and Food,1
amenity,karaoke_box,1,Entertainment,1
amenity,kayak_rental,1,Sports and Activities,1
amenity,kennels,1,Recreation,1
amenity,kiss_stop,1,Transportation,0
amenity,kompost,1,Outdoor Recreation,1
amenity,library_dropoff,1,Education,0
amenity,lost_property_offixe,1,Office,1
amenity,lounge,1,Food and Drink,1
amenity,machine_rental,1,Automotive Services,1
amenity,marine service,1,Automotive Services,1
amenity,mini_ramp,1,Sports and Activities,1
amenity,minnesplats,1,Historic,1
amenity,money_transfer,1,Financial Services,1
amenity,motorcycle_rental,1,Transportation,1
amenity,music_school;dancing_school,1,Education,1
amenity,muster_point,1,Emergency Services,0
amenity,natur pool,1,Outdoor Recreation,1
amenity,optician,1,Healthcare,1
amenity,optometrist,1,Healthcare,1
amenity,parking+shopping,1,Shop,1
amenity,payment_terminal,1,Financial Services,0
amenity,phone,1,Office,0
amenity,picnic_table,1,Outdoor Recreation,1
amenity,place_of_meditation,1,Outdoor Recreation,1
amenity,post_box;bench,1,Recreation,1
amenity,power_supply,1,Transportation,0
amenity,prize_podium,1,Sports and Activities,1
amenity,public,1,Unknown,0
amenity,pump,1,Transportation,0
amenity,rest_area,1,Transportation,1
amenity,sailing_school,1,Education,1
amenity,scrapyard,1,Automotive Services,1
amenity,self_storage,1,Office,0
amenity,shelter;bench;bbq,1,Outdoor Recreation,1
amenity,shower;washing_machine;toilets,1,Home and Living,1
amenity,skateboard_rental,1,Sports and Activities,1
amenity,social_center,1,Recreation,1
amenity,soup_kitchen,1,Food and Drink,1
amenity,sports_centre,1,Sports and Activities,1
amenity,sports_centre',1,Sports and Activities,1
amenity,spring,1,Outdoor Recreation,1
amenity,stable,1,Outdoor Recreation,1
amenity,stand,1,Food and Drink,1
amenity,stock_exchange,1,Financial Services,1
amenity,strawberry_fields,1,Outdoor Recreation,1
amenity,stroller_parking,1,Recreation,0
amenity,student_accommodation,1,Education,0
amenity,swimming,1,Sports and Activities,1
amenity,swingerclub,1,Entertainment,1
amenity,tailor,1,Artisan Workshops,1
amenity,thermometer,1,Healthcare,1
amenity,train_parking,1,Transportation,0
amenity,vending_machine;waste_basket,1,Recreation,1
amenity,washing_machine,1,Home and Living,1
amenity,waste_basket;bench,1,Outdoor Recreation,1
amenity,water,1,Outdoor Recreation,1
amenity,we,1,Unknown,0
amenity,werft,1,Transportation,0
amenity,wilderness_hut,1,Outdoor Recreation,1
amenity,wlan,1,Office,1
amenity,workshop,1,Artisan Workshops,1
craft,Ceramic_Painting,1,Artisan Workshops,1
craft,art,1,Artisan Workshops,1
craft,atelier,1,Artisan Workshops,1
craft,brewery;distillery,1,Food and Drink,1
craft,båtkapell_och_dynor,1,Artisan Workshops,1
craft,car_painter,1,Automotive Services,1
craft,car_varnisher,1,Automotive Services,1
craft,cheese,1,Food and Drink,1
craft,cider,1,Food and Drink,1
craft,dental_technician,1,Healthcare,1
craft,door_construction,1,Artisan Workshops,1
craft,elecronics_repair,1,Artisan Workshops,1
craft,electrician;plumber,1,Artisan Workshops,1
craft,electronics,1,Home and Living,1
craft,embroiderer,1,Artisan Workshops,1
craft,engraver,1,Artisan Workshops,1
craft,farrier,1,Artisan Workshops,1
craft,foundry,1,Artisan Workshops,1
craft,fruit_preserves,1,Food and Drink,1
craft,furniture,1,Home and Living,1
craft,gardener;painter;builder,1,Artisan Workshops,1
craft,grinding_mill,1,Artisan Workshops,1
craft,hand_craft,1,Artisan Workshops,1
craft,hatter,1,Artisan Workshops,1
craft,heating_engineer,1,Artisan Workshops,1
craft,house_construction,1,Artisan Workshops,1
craft,hydraulic_tubes,1,Automotive Services,1
craft,hydraulics,1,Automotive Services,1
craft,juice_bottler,1,Food and Drink,1
craft,knife_sharpener,1,Artisan Workshops,1
craft,knifes,1,Craft,1
craft,laboratory,1,Healthcare,1
craft,locksmith;shoemaker;tailor,1,Artisan Workshops,1
craft,mechanic,1,Automotive Services,1
craft,metal,1,Craft,1
craft,metalworks,1,Artisan Workshops,1
craft,musical_instrument,1,Artisan Workshops,1
craft,photo_studio,1,Artisan Workshops,1
craft,plasterer,1,Artisan Workshops,1
craft,restoration,1,Artisan Workshops,1
craft,sailmaker,1,Artisan Workshops,1
craft,sewing,1,Artisan Workshops,1
craft,sharpening,1,Artisan Workshops,1
craft,stove_fitter,1,Artisan Workshops,1
craft,varnisher,1,Artisan Workshops,1
craft,weavery,1,Artisan Workshops,1
emergency,control_centre,1,Office,0
emergency,floater,1,Emergency Services,0
emergency,lifeguard_base,1,Emergency Services,0
emergency,muster_point,1,Emergency Services,0
emergency,private,1,Emergency Services,0
emergency,rally_point,1,Emergency Services,0
historic,Antiquities(Stenrös),1,Historic,1
historic,"Brott,_Täckt",1,Historic,1
historic,Brytningsyta,1,Historic,1
historic,Cholera_cemetery,1,Historic,1
historic,Gruva,1,Historic,1
historic,Kompassors,1,Historic,1
historic,Kompassros,1,Historic,1
historic,Olstorps_gamla_tomt,1,Historic,1
historic,Ryssugn,1,Historic,1
historic,Stensättning,1,Historic,1
historic,Supartallen,1,Historic,1
historic,Trapping_pit,1,Historic,1
historic,beacon,1,Historic,1
historic,bell,1,Historic,1
historic,boat,1,Historic,1
historic,bridge,1,Historic,1
historic,churchyard,1,Historic,1
historic,courthouse,1,Historic,1
historic,crash_site,1,Historic,1
historic,cross,1,Historic,1
historic,drydock,1,Historic,1
historic,farmland,1,Historic,1
historic,fire_station,1,Historic,1
historic,fornborg,1,Historic,1
historic,foundry,1,Historic,1
historic,gate,1,Historic,1
historic,glacial_erratic,1,Historic,1
historic,grave,1,Historic,1
historic,graves,1,Historic,1
historic,gravfält,1,Historic,1
historic,gristmill,1,Historic,1
historic,gun_emplacement,1,Historic,1
historic,highwater_mark,1,Historic,1
historic,luftvärnsställning_skansen,1,Historic,1
historic,mansion,1,Historic,1
historic,meteor_crater,1,Historic,1
historic,mill place,1,Historic,1
historic,monument_removed_for_renovation,1,Historic,1
historic,railway_car,1,Historic,1
historic,sconce;graves,1,Historic,1
historic,statue,1,Historic,1
historic,steam_engine,1,Historic,1
historic,stone labyrinth,1,Historic,1
historic,stone_row,1,Historic,1
historic,stonesetting,1,Historic,1
historic,store_house,1,Historic,1
historic,substation,1,Historic,1
historic,survey_point,1,Historic,1
historic,tank,1,Historic,1
historic,technical_monument,1,Historic,1
historic,telephone,1,Historic,1
historic,telephone_booth,1,Historic,1
historic,tjärdal,1,Historic,1
historic,transformer_tower,1,Historic,1
historic,trapping_pit,1,Historic,1
historic,tree,1,Historic,1
historic,village,1,Historic,1
historic,wayside_shrine,1,Historic,1
historic,well,1,Historic,1
historic,windmill,1,Historic,1
historic,yrs,1,Historic,1
historic,Östtorp,1,Historic,1
leisure,Bingo,1,Entertainment,1
leisure,abandoned_pitch,1,Entertainment,1
leisure,adult_amusement_arcade,1,Entertainment,1
leisure,adult_gaming_centre,1,Entertainment,1
leisure,animal_training,1,Sports and Activities,1
leisure,axe_throwing,1,Sports and Activities,1
leisure,barbecue_fireplace,1,Outdoor Recreation,1
leisure,bathing,1,Recreation,1
leisure,cape,1,Outdoor Recreation,1
leisure,dog_sledding,1,Outdoor Recreation,1
leisure,dojo,1,Sports and Activities,1
leisure,driving_range,1,Sports and Activities,1
leisure,guide_service,1,Tourism,1
leisure,leisure=swimming_area,1,Outdoor Recreation,1
leisure,mall,1,Fashion and Accessories,1
leisure,music,1,Entertainment,1
leisure,music_venues,1,Entertainment,1
leisure,park;swimming_pool,1,Outdoor Recreation,1
leisure,play_land,1,Recreation,1
leisure,rifle_range,1,Sports and Activities,1
leisure,sea_bath,1,Outdoor Recreation,1
leisure,shooting,1,Sports and Activities,1
leisure,skate_ramp,1,Sports and Activities,1
leisure,snorkelling,1,Outdoor Recreation,1
leisure,soccer_golf_course,1,Sports and Activities,1
leisure,sports and arts for kids and adults,1,Sports and Activities,1
leisure,tent_space,1,Outdoor Recreation,1
leisure,vacant,1,Leisure,1
leisure,viewpoint,1,Tourism,1
leisure,water_ski,1,Sports and Activities,1
leisure,"yard, pasture",1,Outdoor Recreation,1
leisure,yoga,1,Health and Beauty,1
office,Security,1,Emergency Services,1
office,archive,1,Office,1
office,bureau_de_change,1,Financial Services,1
office,cleaning,1,Home and Living,1
office,commercial,1,Office,1
office,cooperative,1,Financial Services,1
office,design,1,Artisan Workshops,1
office,driving_school,1,Education,1
office,factory,1,Office,1
office,förskola,1,Education,1
office,geodesist,1,Office,1
office,government;employment_agency,1,Office,1
office,graphic_design,1,Office,1
office,grocery,1,Groceries and Food,1
office,harboumaster,1,Transportation,0
office,home_care,1,Home and Living,1
office,interior_design,1,Home and Living,1
office,landlord,1,Financial Services,1
office,media,1,Office,1
office,medical,1,Healthcare,1
office,pest_control,1,Office,1
office,reseption,1,Office,1
office,student_housing,1,Education,1
office,sustainability issues,1,Education,1
office,tax_advisor,1,Financial Services,1
office,tourism,1,Office,1
office,traffic_school,1,Education,1
office,travel_agency,1,Office,1
office,video,1,Entertainment,1
office,visa,1,Office,1
office,water_utility,1,Office,1
office,web_development,1,Office,1
shop,Interior design,1,Home and Living,1
shop,Juice,1,Food and Drink,1
shop,accounting,1,Financial Services,1
shop,agricultural_vehicles,1,Automotive Services,1
shop,alternative_medicine,1,Healthcare,1
shop,archery,1,Sports and Activities,1
shop,art;farm,1,Artisan Workshops,1
shop,art_supplies,1,Craft,1
shop,artist,1,Artisan Workshops,1
shop,artwork,1,Artisan Workshops,1
shop,atv;snowmobile;motorcycle;jetski,1,Outdoor Recreation,1
shop,auction,1,Financial Services,1
shop,audio_video,1,Entertainment,1
shop,bakery;farm;florist,1,Food and Drink,1
shop,bakery;pastry,1,Food and Drink,1
shop,bathroom_furniture,1,Home and Living,1
shop,bbq,1,Food and Drink,1
shop,bicycle;motorcycle;groundskeeping,1,Automotive Services,1
shop,bicycle_repair,1,Automotive Services,1
shop,bike,1,Sports and Activities,1
shop,bike_repair,1,Automotive Services,1
shop,boat_accessories,1,Automotive Services,1
shop,boat_parts,1,Automotive Services,1
shop,boat_repair,1,Automotive Services,1
shop,books;games;anime;model,1,Entertainment,1
shop,building_materials,1,Home and Living,1
shop,building_supplies,1,Home and Living,1
shop,butcher;deli,1,Food and Drink,1
shop,byggvaruhandel,1,Home and Living,1
shop,cafe,1,Food and Drink,1
shop,candy,1,Food and Drink,1
shop,car;mobile_home,1,Automotive Services,1
shop,"car_repair, vehicle_inspection",1,Automotive Services,1
shop,car_wrecker,1,Automotive Services,1
shop,carpet;curtain,1,Home and Living,1
shop,ceramics,1,Artisan Workshops,1
shop,cheese;deli,1,Food and Drink,1
shop,cleaning products,1,Home and Living,1
shop,clothes;outdoor;bakery,1,Shop,1
shop,clothes;shoes,1,Fashion and Accessories,1
shop,coffee;nuts,1,Food and Drink,1
shop,coffee;tea,1,Food and Drink,1
shop,coin,1,Financial Services,1
shop,construction,1,Home and Living,1
shop,construction_supplies,1,Home and Living,1
shop,costume,1,Fashion and Accessories,1
shop,cycle_repair,1,Automotive Services,1
shop,decoration,1,Home and Living,1
shop,design,1,Artisan Workshops,1
shop,disc_golf,1,Sports and Activities,1
shop,discount,1,Financial Services,1
shop,diy,1,Craft,1
shop,dry_cleaning;tailor,1,Artisan Workshops,1
shop,eggs,1,Groceries and Food,1
shop,electrical;vacuum_cleaner,1,Home and Living,1
shop,energy,1,Shop,1
shop,esoteric,1,Shop,1
shop,estate,1,Shop,1
shop,exotic,1,Food and Drink,1
shop,farm;dairy,1,Groceries and Food,1
shop,farm;garden_centre,1,Outdoor Recreation,1
shop,fashion,1,Fashion and Accessories,1
shop,firewood,1,Craft,1
shop,fireworks,1,Entertainment,1
shop,fitness_studio,1,Sports and Activities,1
shop,furnace,1,Home and Living,1
shop,furniture;clothes,1,Home and Living,1
shop,garden,1,Outdoor Recreation,1
shop,glove,1,Fashion and Accessories,1
shop,handicraft,1,Craft,1
shop,handmade,1,Artisan Workshops,1
shop,health,1,Healthcare,1
shop,home,1,Home and Living,1
shop,hometextile,1,Home and Living,1
shop,horse_equipment,1,Sports and Activities,1
shop,husvagns_försäljning,1,Automotive Services,1
shop,industrial_components,1,Office,1
shop,joke,1,Entertainment,1
shop,kennel,1,Recreation,1
shop,kitchenware,1,Home and Living,1
shop,kombucha,1,Food and Drink,1
shop,landscaping,1,Home and Living,1
shop,locksmith;shoes;learher;gloves,1,Artisan Workshops,1
shop,machines,1,Craft,1
shop,maps,1,Transportation,1
shop,marine,1,Transportation,1
shop,mobility_scooter,1,Transportation,1
shop,motor,1,Automotive Services,1
shop,motorcycle;bicycle,1,Automotive Services,1
shop,motorcycle_parts,1,Automotive Services,1
shop,motorvehicle,1,Automotive Services,1
shop,network_supplies,1,Office,1
shop,newsagent;bookmaker,1,Education,1
shop,newspaper,1,Office,1
shop,no,1,Shop,1
shop,organic,1,Groceries and Food,1
shop,orthopedics,1,Healthcare,1
shop,outdoor;hunting,1,Outdoor Recreation,1
shop,outlet,1,Fashion and Accessories,1
shop,phone,1,Office,1
shop,phone_repair,1,Artisan Workshops,1
shop,photo_development,1,Artisan Workshops,1
shop,photo_studio,1,Artisan Workshops,1
shop,plumber,1,Artisan Workshops,1
shop,point_of_sale,1,Financial Services,1
shop,pool,1,Sports and Activities,1
shop,pool_supplies,1,Home and Living,1
shop,pools,1,Recreation,1
shop,pyrotechnics,1,Craft,1
shop,realtor,1,Office,1
shop,satellite_tv,1,Entertainment,1
shop,skate,1,Sports and Activities,1
shop,skin_care,1,Health and Beauty,1
shop,skincareproducts_and_scincaretreatments,1,Health and Beauty,1
shop,smoking,1,Health and Beauty,1
shop,snowmobile; jetski,1,Outdoor Recreation,1
shop,socks,1,Fashion and Accessories,1
shop,souvenir,1,Tourism,1
shop,specialist,1,Healthcare,1
shop,specialty_food_-_asian,1,Food and Drink,1
shop,spiritual,1,Religious Places,1
shop,stationery;copyshop,1,Office,1
shop,supermarket;alcohol;outdoor,1,Groceries and Food,1
shop,supplements,1,Shop,1
shop,sweets;tobacco,1,Groceries and Food,1
shop,tailor;laundry;shoe_repair,1,Artisan Workshops,1
shop,tobacco;video,1,Entertainment,1
shop,tool,1,Craft,1
shop,tool_library,1,Craft,1
shop,tractor,1,Automotive Services,1
shop,trailer,1,Automotive Services,1
shop,trophy,1,Craft,1
shop,watch,1,Fashion and Accessories,1
shop,water,1,Outdoor Recreation,1
shop,wellness_and_beauty_shop,1,Health and Beauty,1
shop,windsurfing,1,Sports and Activities,1
shop,zoo,1,Recreation,1
sport,9pin,1,Sports and Activities,1
sport,Idrottshall,1,Sports and Activities,1
sport,Skidanläggning,1,Sports and Activities,1
sport,alpine,1,Outdoor Recreation,1
sport,badminton,1,Sports and Activities,1
sport,bmx,1,Sports and Activities,1
sport,bridge,1,Transportation,1
sport,cliff_diving,1,Outdoor Recreation,1
sport,dog,1,Recreation,1
sport,dog_agility,1,Sports and Activities,1
sport,dog_training;dog,1,Sports and Activities,1
sport,drag racing,1,Sports and Activities,1
sport,fishing,1,Outdoor Recreation,1
sport,floorball,1,Sports and Activities,1
sport,gliding,1,Sports and Activities,1
sport,hockey,1,Sports and Activities,1
sport,hockey;ice_hockey,1,Sports and Activities,1
sport,horse_racing,1,Sports and Activities,1
sport,hunting,1,Outdoor Recreation,1
sport,karate,1,Sports and Activities,1
sport,kayak,1,Outdoor Recreation,1
sport,kickboxing,1,Sports and Activities,1
sport,kitesurfing,1,Sports and Activities,1
sport,krav_maga,1,Sports and Activities,1
sport,motor_bike,1,Sports and Activities,1
sport,muay_thai,1,Sports and Activities,1
sport,obstacle_course,1,Sports and Activities,1
sport,orienteering;mtb;skiing,1,Outdoor Recreation,1
sport,orienteering;skiing,1,Sports and Activities,1
sport,orientering,1,Sports and Activities,1
sport,paintball,1,Sports and Activities,1
sport,paintball;airsoft,1,Sports and Activities,1
sport,parachuting,1,Sports and Activities,1
sport,pole_dance,1,Sports and Activities,1
sport,skating,1,Sports and Activities,1
sport,skiing;bmx;cross_country_skiing,1,Sports and Activities,1
sport,skydiving;fallskärmshoppning;tandem,1,Sports and Activities,1
sport,snorkeling,1,Outdoor Recreation,1
sport,sports,1,Sports and Activities,1
sport,volleyball,1,Sports and Activities,1
sport,water_sports,1,Sports and Activities,1
sport,windsurfing,1,Sports and Activities,1
sport,workout,1,Sports and Activities,1
tourism,Hunserödsmölla,1,Historic,1
tourism,Outboard engine on rock,1,Outdoor Recreation,1
tourism,archaeological_site,1,Historic,1
tourism,ceramics,1,Artisan Workshops,1
tourism,exhibition,1,Entertainment,1
tourism,fountain,1,Outdoor Recreation,1
tourism,guestbook,1,Tourism,1
tourism,minor_attraction,1,Tourism,1
tourism,museum_closed_for_renovation,1,Tourism,1
tourism,picnic_sitel,1,Outdoor Recreation,1
tourism,shingle_field,1,Outdoor Recreation,1
tourism,sightseeing,1,Tourism,1
tourism,spa_resort,1,Health and Beauty,1
tourism,vacant,1,Tourism,1
